"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3585","test_standard_user_with_enter[chromium]","tests.ui","Sun Jul 20 17:14:22 GMT 2025","passed","Sun Jul 20 17:14:25 GMT 2025","","test_login_successful","",""
"","11783","test_e2e_2[chromium]","tests.ui","Sun Jul 20 17:13:54 GMT 2025","passed","Sun Jul 20 17:14:06 GMT 2025","","test_end_to_end_buy_items","",""
"","2965","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Sun Jul 20 17:14:10 GMT 2025","passed","Sun Jul 20 17:14:13 GMT 2025","","test_login_negative","",""
"","2448","test_password_is_missing[chromium]","tests.ui","Sun Jul 20 17:14:15 GMT 2025","passed","Sun Jul 20 17:14:18 GMT 2025","","test_login_negative","",""
"","3641","test_standard_user[chromium]","tests.ui","Sun Jul 20 17:14:18 GMT 2025","passed","Sun Jul 20 17:14:21 GMT 2025","","test_login_successful","",""
"","9643","test_performance_glitch_user[chromium]","tests.ui","Sun Jul 20 17:14:26 GMT 2025","passed","Sun Jul 20 17:14:35 GMT 2025","","test_login_successful","",""
"","3428","test_visual_user[chromium]","tests.ui","Sun Jul 20 17:14:36 GMT 2025","passed","Sun Jul 20 17:14:39 GMT 2025","","test_login_successful","",""
"","3923","test_locked_out_user[chromium]","tests.ui","Sun Jul 20 17:14:06 GMT 2025","passed","Sun Jul 20 17:14:10 GMT 2025","","test_login_negative","",""
"","12820","test_e2e_1[chromium]","tests.ui","Sun Jul 20 17:13:41 GMT 2025","passed","Sun Jul 20 17:13:54 GMT 2025","","test_end_to_end_buy_items","",""
"","10417","test_visual_user_with_enter[chromium]","tests.ui","Mon Jul 14 18:11:45 GMT 2025","failed","Mon Jul 14 18:11:56 GMT 2025","","test_login_successful","",""
"","7565","test_example[chromium]","tests.ui","Mon Jul 14 15:56:13 GMT 2025","passed","Mon Jul 14 15:56:20 GMT 2025","","test_login_negative","",""
"","10975","test_visual_user_with_trim[chromium]","tests.ui","Mon Jul 14 18:11:34 GMT 2025","failed","Mon Jul 14 18:11:45 GMT 2025","","test_login_successful","",""
"","1314","test_user_name_and_password_are_missing[chromium]","tests.ui","Sun Jul 20 17:14:14 GMT 2025","passed","Sun Jul 20 17:14:15 GMT 2025","","test_login_negative","",""
"","5817","test_locked_out_user[chromium]","tests.ui","Mon Jul 14 16:28:08 GMT 2025","passed","Mon Jul 14 16:28:14 GMT 2025","","test_login_successful","",""
